block,head,cos980,cos437,ratio980,ratio437,ls980,ls437,d_ratio,d_ls
13,8,0.896392,0.893141,0.470768,0.519166,0.753277,0.761962,-0.048398,-0.008685
13,9,0.934994,0.928408,1.108728,1.087877,1.009012,1.000184,0.020851,0.008828
13,10,0.922769,0.918973,1.296354,1.30287,1.06794,1.068627,-0.006515,-0.000687
13,11,0.915972,0.905274,0.843075,0.849647,0.850311,0.845035,-0.006572,0.005277
13,12,0.945898,0.942022,0.901514,0.894028,0.881573,0.878927,0.007486,0.002646
13,13,0.925445,0.913665,0.953733,0.915144,0.958636,0.94235,0.038589,0.016286
13,14,0.94674,0.940137,0.994475,0.962201,0.962191,0.94253,0.032274,0.019662
13,15,0.986878,0.987301,1.30711,1.271219,1.250389,1.225848,0.035891,0.024541
14,0,0.894352,0.887272,0.97484,0.978228,0.936497,0.93276,-0.003388,0.003737
14,1,0.9868,0.986942,0.907503,0.910046,0.925186,0.92784,-0.002543,-0.002653
14,2,0.960889,0.954141,1.101744,1.067784,1.048824,1.025389,0.03396,0.023435
14,3,0.887355,0.888188,1.037544,1.042312,0.974238,0.975021,-0.004768,-0.000782
14,4,0.964403,0.961602,1.108161,1.093612,1.051514,1.040811,0.014549,0.010703
14,5,0.78933,0.799716,0.317574,0.352897,0.704379,0.704954,-0.035323,-0.000575
14,6,0.886433,0.880192,0.902768,0.952787,0.929049,0.932829,-0.05002,-0.00378
14,7,0.946221,0.944758,0.631402,0.632958,0.696709,0.699901,-0.001556,-0.003192
14,8,0.927796,0.92566,0.967359,0.939475,0.944387,0.933167,0.027884,0.01122
14,9,0.823108,0.811345,2.170207,2.302254,0.948073,0.932645,-0.132046,0.015428
14,10,0.753934,0.773106,-0.069982,0.012521,0.698039,0.713953,-0.082503,-0.015914
14,11,0.914106,0.915891,1.330309,1.29855,1.046646,1.043723,0.031759,0.002923
14,12,0.934198,0.93479,1.055036,1.030209,0.985154,0.977241,0.024827,0.007913
14,13,0.880112,0.872936,1.36158,1.402639,0.984103,0.988937,-0.041059,-0.004834
14,14,0.954528,0.94896,1.055658,1.050723,1.007662,0.997891,0.004935,0.00977
14,15,0.8692,0.869489,1.882563,1.805842,1.073638,1.043839,0.076722,0.029799
15,0,0.981933,0.982592,1.09896,1.083649,1.058156,1.050562,0.015311,0.007594
15,1,0.97071,0.968938,0.947538,0.951665,0.984885,0.984267,-0.004127,0.000618
15,2,0.977818,0.97681,0.850041,0.835514,0.89767,0.88787,0.014526,0.0098
15,3,0.977057,0.977306,0.985921,0.97458,0.991637,0.984117,0.011341,0.00752
15,4,0.997873,0.997865,1.035985,1.023161,1.034194,1.022208,0.012824,0.011985
15,5,0.970943,0.971546,1.095387,1.080358,1.021716,1.017828,0.01503,0.003889
15,6,0.54245,0.596877,7.222541,5.655679,0.91327,0.990059,1.566862,-0.076789
15,7,0.955326,0.951112,0.824753,0.823599,0.924581,0.927186,0.001154,-0.002605
15,8,0.959558,0.960634,1.093145,1.087039,1.038092,1.034352,0.006106,0.003741
15,9,0.97956,0.978718,0.979459,0.963686,1.000039,0.989138,0.015773,0.010901
15,10,0.965091,0.963894,0.853168,0.835728,0.920938,0.905788,0.01744,0.01515
15,11,0.972299,0.970091,0.864766,0.865936,0.917556,0.916991,-0.001169,0.000565
15,12,0.987711,0.987517,1.06085,1.072976,1.105367,1.116112,-0.012126,-0.010745
15,13,0.938773,0.945681,0.792729,0.876186,0.896417,0.92355,-0.083457,-0.027132
15,14,0.959315,0.96603,0.926107,1.001754,0.92556,0.974293,-0.075647,-0.048732
15,15,0.726073,0.770013,-0.022255,0.090084,0.647873,0.665622,-0.112339,-0.017749
