block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
8,0,22,22,1.0,0.963165,1.094797,0.009725,1.077494,1.110834,0.03334,1.203604,0.028022
8,1,22,22,1.0,0.973228,0.918441,0.009982,0.896362,0.93618,0.039818,0.86666,0.016899
8,2,20,22,0.909091,0.914787,0.799017,0.014648,0.7762,0.823934,0.047734,0.705732,0.039685
8,3,22,22,1.0,0.971106,0.884459,0.008531,0.866224,0.896841,0.030618,0.832944,0.017314
8,4,22,22,1.0,0.986913,1.03364,0.02719,0.983483,1.101588,0.118106,1.026578,0.037104
8,5,22,22,1.0,0.96088,1.027092,0.024242,0.969597,1.084907,0.11531,1.11365,0.031555
8,6,22,22,1.0,0.971166,1.064711,0.017072,1.027559,1.101965,0.074406,1.122441,0.02957
8,7,22,22,1.0,0.988208,1.087791,0.007408,1.068272,1.098451,0.030179,1.171343,0.019609
8,8,22,22,1.0,0.988537,0.992483,0.004608,0.983944,1.000159,0.016215,0.968774,0.008829
8,9,22,22,1.0,0.982453,0.992969,0.010561,0.974046,1.012291,0.038245,0.987785,0.01611
8,10,22,22,1.0,0.984129,0.972927,0.011177,0.949136,0.995566,0.04643,0.963437,0.014679
8,11,22,22,1.0,0.981201,1.040047,0.012029,1.020287,1.066121,0.045833,1.091897,0.025652
8,12,22,22,1.0,0.963415,1.024205,0.010745,1.005985,1.049113,0.043128,1.036949,0.023795
8,13,22,22,1.0,0.983186,0.984283,0.011368,0.963433,1.007635,0.044202,0.975348,0.018594
8,14,22,22,1.0,0.971955,1.08574,0.014009,1.052829,1.106621,0.053792,1.119276,0.027417
9,0,22,22,1.0,0.962289,0.949867,0.015092,0.925896,0.976046,0.050149,0.943496,0.050431
9,2,22,22,1.0,0.947593,0.876354,0.006345,0.867732,0.891431,0.0237,0.747275,0.023688
9,3,22,22,1.0,0.985105,1.041857,0.009987,1.019158,1.054547,0.03539,1.05359,0.015808
9,4,22,22,1.0,0.975175,1.095554,0.020607,1.05139,1.129472,0.078082,1.138302,0.028472
9,5,22,22,1.0,0.975042,1.079615,0.008835,1.064196,1.095269,0.031073,1.153459,0.01836
9,6,22,22,1.0,0.990368,1.065962,0.007987,1.051743,1.081149,0.029406,1.11286,0.01698
9,7,22,22,1.0,0.991377,0.939366,0.016081,0.91484,0.971775,0.056936,0.923767,0.020213
9,9,22,22,1.0,0.989143,1.005104,0.011178,0.976253,1.022216,0.045963,1.003234,0.020818
9,10,22,22,1.0,0.979151,0.892795,0.01196,0.871776,0.91442,0.042645,0.880467,0.015147
9,11,22,22,1.0,0.976374,0.820615,0.005285,0.81017,0.828613,0.018443,0.752056,0.021594
9,12,10,22,0.454545,0.909222,0.93098,0.012391,0.914463,0.950398,0.035935,1.046576,0.022596
9,13,22,22,1.0,0.949719,0.873299,0.008086,0.861061,0.892833,0.031772,0.802318,0.022862
9,14,22,22,1.0,0.983756,1.034411,0.012413,1.01159,1.058496,0.046906,1.051732,0.019257
9,15,22,22,1.0,0.993039,0.978955,0.008737,0.961143,1.000355,0.039213,0.955611,0.01301
10,0,22,22,1.0,0.938629,0.799198,0.011148,0.781378,0.818869,0.037491,0.612069,0.026938
10,1,22,22,1.0,0.994617,0.981807,0.011956,0.954647,1.001166,0.046519,0.985535,0.01238
10,2,22,22,1.0,0.969669,0.910238,0.013874,0.887055,0.944869,0.057814,0.844285,0.02328
10,3,21,22,0.954545,0.956026,0.778233,0.019646,0.737358,0.804495,0.067137,0.684859,0.052147
10,4,22,22,1.0,0.99585,0.927841,0.007982,0.908809,0.944577,0.035768,0.926606,0.008938
10,5,22,22,1.0,0.989214,1.025827,0.015429,0.994123,1.054742,0.060619,1.02758,0.020161
10,6,22,22,1.0,0.983612,0.965561,0.013005,0.94608,0.987607,0.041527,0.965672,0.016825
10,7,22,22,1.0,0.987909,0.855462,0.00788,0.839455,0.872616,0.033161,0.816327,0.014651
10,8,22,22,1.0,0.983821,1.034145,0.012348,1.01747,1.05632,0.03885,1.047865,0.017464
10,9,22,22,1.0,0.9765,0.979843,0.022902,0.93662,1.026106,0.089486,0.999847,0.022817
10,10,22,22,1.0,0.980858,0.941262,0.01436,0.905488,0.960534,0.055046,0.95846,0.013639
10,11,22,22,1.0,0.987797,0.982913,0.009589,0.970874,0.999501,0.028627,0.969008,0.013961
10,12,22,22,1.0,0.951388,0.792438,0.008139,0.780524,0.811487,0.030963,0.679132,0.013958
10,13,22,22,1.0,0.992685,1.038695,0.007352,1.02135,1.049378,0.028028,1.041936,0.008749
10,14,22,22,1.0,0.948703,0.854835,0.01405,0.812267,0.876533,0.064266,0.758232,0.048842
10,15,22,22,1.0,0.977582,1.032875,0.014147,1.000912,1.0609,0.059988,1.053966,0.023642
11,0,22,22,1.0,0.995629,1.017007,0.007817,1.003529,1.034274,0.030745,1.021652,0.009108
11,1,22,22,1.0,0.987387,1.096995,0.020782,1.057278,1.13415,0.076872,1.101502,0.026225
11,2,22,22,1.0,0.978323,1.056545,0.015415,1.023488,1.082467,0.058979,1.098712,0.024177
11,4,22,22,1.0,0.945748,0.818784,0.013827,0.793768,0.845666,0.051898,0.677896,0.035114
11,5,22,22,1.0,0.966152,1.114259,0.009058,1.100235,1.13418,0.033945,1.250402,0.036045
11,6,2,22,0.090909,0.901169,0.922682,0.002089,0.921205,0.924159,0.002955,1.055632,0.000884
11,7,22,22,1.0,0.934303,0.890358,0.0078,0.877328,0.905376,0.028048,0.876339,0.019863
11,8,22,22,1.0,0.968269,0.976335,0.015558,0.948098,1.019343,0.071245,0.974282,0.028154
11,9,22,22,1.0,0.97868,0.91461,0.013282,0.882977,0.930644,0.047667,0.855654,0.039935
11,10,10,22,0.454545,0.912483,0.887753,0.019574,0.852919,0.917813,0.064894,0.696826,0.090419
11,11,22,22,1.0,0.985864,0.843735,0.009687,0.815421,0.859482,0.044061,0.821306,0.012678
11,12,17,22,0.772727,0.910587,0.735768,0.005969,0.725314,0.748517,0.023203,0.51738,0.025469
11,13,22,22,1.0,0.987301,1.104476,0.027539,1.054138,1.159109,0.10497,1.106405,0.034972
11,14,22,22,1.0,0.973713,1.112476,0.011368,1.090889,1.139975,0.049086,1.196618,0.031142
11,15,22,22,1.0,0.987211,1.069944,0.016023,1.034608,1.108579,0.073971,1.067637,0.024083
12,0,22,22,1.0,0.985767,1.165885,0.017395,1.132215,1.200267,0.068053,1.202481,0.017128
12,1,22,22,1.0,0.980451,1.078441,0.016718,1.051999,1.121287,0.069287,1.098205,0.020698
12,2,22,22,1.0,0.927555,1.052416,0.019708,1.006507,1.082344,0.075837,1.789426,0.085007
12,3,22,22,1.0,0.998431,1.08954,0.006407,1.073722,1.099084,0.025362,1.08978,0.006418
12,4,22,22,1.0,0.955914,1.099308,0.018314,1.064614,1.128046,0.063432,1.373545,0.033034
12,6,22,22,1.0,0.909419,1.052233,0.017638,1.007692,1.078221,0.070528,2.283816,0.320514
12,7,22,22,1.0,0.962151,0.933977,0.019941,0.896501,0.970799,0.074298,0.909339,0.030781
12,8,22,22,1.0,0.935234,0.93758,0.011347,0.916629,0.955936,0.039306,0.973164,0.034381
12,9,22,22,1.0,0.984011,1.155732,0.012996,1.126805,1.176245,0.04944,1.178831,0.015439
12,10,22,22,1.0,0.975166,0.873047,0.01291,0.849081,0.899569,0.050487,0.81856,0.03683
12,11,22,22,1.0,0.938861,1.03473,0.010316,1.0138,1.052252,0.038453,1.193573,0.051574
12,12,22,22,1.0,0.966666,1.193704,0.010734,1.171059,1.217591,0.046533,1.37578,0.023235
12,13,3,22,0.136364,0.912448,0.910735,0.006152,0.907174,0.917838,0.010664,0.984277,0.007806
12,14,22,22,1.0,0.952741,1.054329,0.018249,1.01732,1.078177,0.060858,1.122746,0.027852
13,0,22,22,1.0,0.934409,0.874345,0.016028,0.849149,0.914216,0.065068,0.866773,0.023141
13,1,22,22,1.0,0.94732,1.009651,0.018232,0.968794,1.041687,0.072894,1.045468,0.034767
13,2,22,22,1.0,0.92419,0.987327,0.01138,0.972891,1.018357,0.045466,1.49108,0.0733
13,3,22,22,1.0,0.946012,0.998141,0.016686,0.966265,1.032123,0.065858,1.06058,0.029887
13,4,22,22,1.0,0.976301,0.932921,0.013024,0.912216,0.964413,0.052197,0.941606,0.015853
13,5,22,22,1.0,0.959237,0.713723,0.021069,0.668365,0.745802,0.077437,0.66605,0.041995
13,6,22,22,1.0,0.983691,1.070344,0.020391,1.029841,1.098348,0.068508,1.072215,0.022665
13,7,22,22,1.0,0.949209,0.934204,0.018235,0.901366,0.972144,0.070778,0.871208,0.065245
13,9,22,22,1.0,0.935893,1.03029,0.017486,0.993667,1.057436,0.063769,1.151109,0.042927
13,10,22,22,1.0,0.927002,1.078435,0.011751,1.053738,1.099674,0.045936,1.295808,0.02376
13,11,21,22,0.954545,0.91992,0.880172,0.018902,0.844165,0.917479,0.073315,0.893035,0.031088
13,12,22,22,1.0,0.946854,0.902526,0.013248,0.870817,0.923964,0.053147,0.932506,0.023207
13,13,22,22,1.0,0.922987,0.956506,0.010977,0.938565,0.9769,0.038335,0.930877,0.038622
13,14,22,22,1.0,0.947078,0.970763,0.019476,0.928297,1.001891,0.073594,1.003329,0.029812
13,15,22,22,1.0,0.987834,1.244012,0.03305,1.187562,1.315821,0.128259,1.292388,0.043631
14,1,22,22,1.0,0.983819,0.902585,0.022891,0.852737,0.951925,0.099187,0.88216,0.025788
