class_id,block,head,profile_cosine,upsample_bilinear_cosine,nearest_cosine,mean8_up,mean9
437,13,11,0.893420,0.905274,0.897112,4.925302,4.184771
437,13,12,0.941578,0.942022,0.936090,4.736587,4.234641
437,13,13,0.778401,0.913665,0.903509,-0.783155,-0.716700
437,13,14,0.939641,0.940137,0.933045,4.724518,4.545938
437,13,15,0.996300,0.987301,0.981482,-2.051696,-2.608155
437,14,0,0.726042,0.887272,0.875069,1.900305,1.858931
437,14,1,0.997237,0.986942,0.981670,9.831788,8.947374
437,14,2,0.955276,0.954141,0.946287,4.473520,4.776752
437,14,3,0.740757,0.888188,0.874263,1.475831,1.538277
437,14,4,0.971351,0.961602,0.954856,5.085808,5.561901
437,14,5,0.625269,0.799716,0.794311,1.604344,0.566168
437,14,6,0.683499,0.880192,0.859956,1.578333,1.503816
437,14,7,0.951694,0.944758,0.933964,5.711702,3.615268
437,14,8,0.893879,0.925660,0.916691,2.987105,2.806311
437,14,9,0.416571,0.811345,0.795939,0.733197,1.688006
437,14,10,0.165218,0.773106,0.770082,0.915542,0.011464
437,14,11,0.895405,0.915891,0.904255,2.717232,3.528462
437,14,12,0.897479,0.934790,0.926114,2.419984,2.493089
437,14,13,0.711726,0.872936,0.857866,1.474169,2.067726
437,14,14,0.949591,0.948960,0.942183,4.119285,4.328227
437,14,15,0.777094,0.869489,0.853622,1.380839,2.493577
437,15,0,0.987814,0.982592,0.975545,4.375123,4.741097
437,15,1,0.968163,0.968938,0.955131,2.810309,2.674474
437,15,2,0.989106,0.976810,0.970311,4.835114,4.039804
437,15,3,0.985758,0.977306,0.965790,3.613426,3.521575
437,15,4,0.999274,0.997865,0.997520,-3.470196,-3.550569
437,15,5,0.989098,0.971546,0.955349,3.638511,3.930893
437,15,6,0.617530,0.596877,0.608540,0.284670,1.610001
437,15,7,0.946886,0.951112,0.934871,2.845101,2.343221
437,15,8,0.971505,0.960634,0.944612,3.643209,3.960309
437,15,9,0.985866,0.978718,0.970349,3.749589,3.613428
437,15,10,0.985198,0.963894,0.954315,-2.199720,-1.838368
437,15,11,0.978663,0.970091,0.957367,4.002570,3.465968
437,15,12,0.997003,0.987517,0.976844,5.561197,5.967029
437,15,13,0.952193,0.945681,0.933306,2.587541,2.267169
437,15,14,0.979219,0.966030,0.958199,3.849998,3.856753
437,15,15,0.516838,0.770013,0.761684,1.742068,0.156932
