block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
5,2,22,22,1.0,0.974899,0.794794,0.022216,0.737718,0.839996,0.102279,0.805501,0.026488
5,3,22,22,1.0,0.972752,0.918382,0.006088,0.908534,0.928555,0.020021,0.798954,0.026481
5,4,22,22,1.0,0.993353,0.970729,0.009416,0.948156,0.99092,0.042764,0.974688,0.011477
5,5,22,22,1.0,0.984878,0.918032,0.011521,0.887368,0.935299,0.047931,0.919737,0.014207
5,6,22,22,1.0,0.994028,0.978619,0.008291,0.962069,0.990326,0.028258,0.986953,0.010612
5,7,9,22,0.409091,0.905975,0.912262,0.013927,0.889554,0.934554,0.045,0.924977,0.03143
5,8,20,22,0.909091,0.918125,0.883245,0.005674,0.873571,0.895479,0.021908,0.854424,0.011867
5,9,22,22,1.0,0.957363,0.912016,0.016186,0.877472,0.935325,0.057853,0.904928,0.027517
5,10,22,22,1.0,0.946248,0.812078,0.007916,0.798853,0.827496,0.028643,0.745001,0.011802
5,11,22,22,1.0,0.933273,0.693825,0.026319,0.629139,0.73474,0.105602,0.732363,0.026493
5,12,7,22,0.318182,0.911554,0.623544,0.021227,0.599402,0.663153,0.063751,0.592208,0.029123
5,13,22,22,1.0,0.984778,0.961383,0.002551,0.956818,0.965738,0.00892,0.912986,0.009208
5,14,22,22,1.0,0.971324,0.797658,0.013202,0.771274,0.81969,0.048416,0.814947,0.0149
5,15,3,22,0.136364,0.908922,0.659694,0.017454,0.645367,0.679133,0.033766,0.618287,0.00714
6,0,16,22,0.727273,0.911111,0.790776,0.006892,0.77728,0.808249,0.03097,0.725287,0.014627
6,1,22,22,1.0,0.950633,0.784177,0.01312,0.751274,0.803687,0.052412,0.730014,0.023685
6,2,22,22,1.0,0.976056,0.89771,0.00374,0.891075,0.905548,0.014473,0.797887,0.006735
6,3,8,22,0.363636,0.916299,0.699901,0.013185,0.677669,0.7207,0.043031,0.742999,0.016463
6,4,22,22,1.0,0.953674,0.927727,0.011361,0.902653,0.945305,0.042652,0.961629,0.016636
6,5,20,22,0.909091,0.924788,0.760016,0.012086,0.734805,0.779356,0.044551,0.639625,0.023425
6,6,22,22,1.0,0.986508,0.865447,0.010523,0.838406,0.882659,0.044253,0.867444,0.014156
6,7,22,22,1.0,0.982268,0.910103,0.014505,0.886948,0.937276,0.050328,0.917253,0.014467
6,8,22,22,1.0,0.940555,0.814762,0.005714,0.805599,0.829346,0.023746,0.657226,0.00656
6,9,22,22,1.0,0.991283,0.904974,0.010936,0.887734,0.929831,0.042097,0.892935,0.016753
6,10,22,22,1.0,0.927165,0.892003,0.00939,0.873635,0.907004,0.033369,0.762839,0.061592
6,11,20,22,0.909091,0.926129,0.683273,0.028456,0.623778,0.742092,0.118315,0.754015,0.01628
6,12,22,22,1.0,0.988055,0.899329,0.010892,0.883663,0.927425,0.043762,0.877961,0.016299
6,14,22,22,1.0,0.925877,0.820483,0.014188,0.792504,0.851842,0.059338,0.613277,0.040503
6,15,22,22,1.0,0.957665,0.879983,0.010512,0.86467,0.902289,0.037619,0.795254,0.025455
7,0,22,22,1.0,0.982158,0.910817,0.013782,0.881269,0.931757,0.050488,0.924114,0.01249
7,1,22,22,1.0,0.94903,0.855299,0.017563,0.822251,0.880417,0.058165,0.832514,0.029938
7,2,22,22,1.0,0.973335,0.964957,0.007708,0.948819,0.981654,0.032835,0.97113,0.019235
