block,head,cosine,mean8,mean9,ratio,abs8,abs9,abs_ratio,std8,std9,std_ratio,ls_scale,rmse,rmse_scaled
4,1,0.980141,1.872053,1.992475,1.064326,1.875782,2.004668,1.068711,1.080847,1.132692,1.047967,1.039216,0.462108,0.454274
4,2,0.956926,0.797238,0.989461,1.241111,0.901610,1.053858,1.168862,0.756368,0.818986,1.082787,1.118590,0.394710,0.372616
4,3,0.996433,2.473020,2.643980,1.069130,2.473020,2.643980,1.069130,0.787320,0.840756,1.067870,1.065202,0.288822,0.234079
4,4,0.993123,3.790333,4.068713,1.073445,3.790333,4.068713,1.073445,1.069829,1.063561,0.994141,1.060471,0.546866,0.492299
4,5,0.980466,1.745696,2.630098,1.506618,1.778319,2.635537,1.482038,1.000147,1.116778,1.116615,1.392753,0.969248,0.561839
4,6,0.957796,1.478045,2.512475,1.699864,1.726899,2.583121,1.495815,1.365281,1.310254,0.959696,1.349489,1.075403,0.814173
4,7,0.985584,1.861296,1.483542,0.797048,1.861296,1.488689,0.799813,1.017232,1.013844,0.996669,0.834777,0.463699,0.303818
4,9,0.966793,0.817855,0.821163,1.004046,0.867859,0.893289,1.029302,0.781720,0.877324,1.122301,1.026764,0.308264,0.306776
4,10,0.991220,5.778035,5.780363,1.000403,5.778035,5.780363,1.000403,1.711378,1.713691,1.001351,0.991695,0.798600,0.797031
4,11,0.993753,4.396050,4.085277,0.929306,4.396050,4.085277,0.929306,1.481084,1.303059,0.879801,0.918624,0.609406,0.478469
4,12,0.993541,1.870674,1.704051,0.910929,1.870674,1.707052,0.912533,0.936363,1.039996,1.110676,0.948008,0.251155,0.226404
4,13,0.990779,3.535135,3.779478,1.069119,3.535135,3.779478,1.069119,1.143397,1.111506,0.972108,1.050566,0.565770,0.533678
4,14,0.988036,1.508570,1.296260,0.859264,1.508989,1.313586,0.870507,0.939716,1.032977,1.099244,0.921237,0.291236,0.255428
4,15,0.983228,1.361744,2.048524,1.504339,1.426892,2.094659,1.467987,0.879582,1.120031,1.273367,1.416218,0.797432,0.425620
5,0,0.996937,11.081824,11.109474,1.002495,11.081824,11.109474,1.002495,1.442236,1.300722,0.901879,0.997843,0.875079,0.874747
5,1,0.940645,3.765247,2.564206,0.681019,3.765247,2.564206,0.681019,1.193499,0.709667,0.594611,0.633634,1.705435,0.902861
5,2,0.989329,7.644616,7.018782,0.918134,7.644616,7.018782,0.918134,1.313091,1.394965,1.062352,0.912719,1.243058,1.042553
5,3,0.987925,2.853974,2.367118,0.829411,2.853974,2.367118,0.829411,1.193759,1.119395,0.937706,0.836140,0.649054,0.405535
5,4,0.998208,10.388887,10.823254,1.041811,10.388887,10.823254,1.041811,1.300173,1.114578,0.857253,1.037361,0.759545,0.651080
5,5,0.997013,7.520396,7.745079,1.029876,7.520396,7.745079,1.029876,1.474256,1.519280,1.030540,1.026824,0.643299,0.609574
5,6,0.998632,15.116433,16.106503,1.065496,15.116433,16.106503,1.065496,1.424921,1.428651,1.002617,1.063504,1.282382,0.845480
5,7,0.966181,2.756194,3.791558,1.375650,2.808404,3.791558,1.350076,1.322730,1.586223,1.199204,1.299014,1.399138,1.059510
5,8,0.972174,3.102653,3.839666,1.237543,3.177167,3.839666,1.208519,1.558044,1.684647,1.081258,1.174183,1.153096,0.981940
5,9,0.985687,4.446473,4.699219,1.056842,4.446473,4.699219,1.056842,1.443547,1.670259,1.157052,1.051499,0.874371,0.840585
5,10,0.996379,5.820630,4.385036,0.753361,5.820630,4.385036,0.753361,1.448494,1.395940,0.963718,0.764386,1.466236,0.391181
5,11,0.960029,4.780952,4.307540,0.900980,4.794294,4.341553,0.905567,1.775152,1.826694,1.029035,0.880722,1.443575,1.309218
5,13,0.998798,5.284436,5.156964,0.975878,5.284436,5.156964,0.975878,1.568713,1.467240,0.935314,0.971498,0.306145,0.262771
5,14,0.983915,5.797277,5.604017,0.966664,5.797277,5.604017,0.966664,1.383664,1.341236,0.969336,0.951256,1.069459,1.029251
6,0,0.953251,2.962693,3.077630,1.038795,2.990967,3.115842,1.041751,1.246327,1.595335,1.280030,1.027975,1.050933,1.047081
6,1,0.992957,5.469872,4.470042,0.817211,5.469872,4.470042,0.817211,0.908139,0.876827,0.965520,0.815736,1.155415,0.539660
6,2,0.997077,5.217467,4.284333,0.821152,5.217467,4.284333,0.821152,1.293199,1.362483,1.053575,0.833867,0.956686,0.343425
6,3,0.918039,1.965899,2.072534,1.054243,1.965899,2.072534,1.054243,1.085792,1.109955,1.022254,0.961073,0.935844,0.931755
6,4,0.986135,4.909955,5.896671,1.200962,4.912044,5.896671,1.200452,1.754728,1.907903,1.087293,1.172196,1.364968,1.028283
6,5,0.981427,3.851901,3.017518,0.783384,3.851901,3.017518,0.783384,1.051702,0.976300,0.928305,0.779501,1.070029,0.608293
6,6,0.992140,10.283616,9.786149,0.951625,10.283616,9.786149,0.951625,2.225430,2.280659,1.024817,0.947501,1.373196,1.257219
6,7,0.997659,7.346689,7.650713,1.041382,7.346689,7.650713,1.041382,1.403952,1.468249,1.045797,1.039100,0.607643,0.532647
