class_id,seed,block,head,cosine,ls_scale,ratio,mean8_up,mean9
660,0,4,12,0.957524,0.960822,0.889897,1.768433,1.573722
660,0,4,13,0.980571,1.061315,1.082708,3.758574,4.069439
660,0,4,14,0.975407,0.995493,0.852293,1.508006,1.285263
660,0,4,15,0.950928,1.105634,1.585594,1.367118,2.167695
660,0,5,0,0.994136,0.993402,0.996303,11.322076,11.280220
660,0,5,1,0.908071,0.749693,0.604279,3.423339,2.068651
660,0,5,2,0.989118,0.938650,0.942973,8.481502,7.997823
660,0,5,3,0.982020,0.949744,0.874742,2.915654,2.550445
660,0,5,4,0.995394,1.037826,1.046961,9.633299,10.085688
660,0,5,5,0.991249,0.999795,0.997800,8.446615,8.428033
660,0,5,6,0.996801,1.049559,1.054391,14.337085,15.116891
660,0,5,7,0.943007,1.105990,1.396706,2.341503,3.270391
660,0,5,8,0.964995,1.079271,1.217237,3.257859,3.965586
660,0,5,9,0.968893,1.036539,1.106745,3.967426,4.390930
660,0,5,10,0.962292,0.807652,0.745684,5.908993,4.406243
660,0,5,11,0.971311,0.950570,0.975782,5.736825,5.597890
660,0,5,12,0.916174,0.840939,0.666543,1.460385,0.973410
660,0,5,13,0.990536,0.996766,0.981099,5.601836,5.495955
660,0,5,14,0.981494,0.958655,0.966508,6.276708,6.066486
660,0,5,15,0.900982,0.830137,0.780278,1.511579,1.179452
660,0,6,0,0.951209,0.979234,1.025193,2.940020,3.014088
660,0,6,1,0.970938,0.874036,0.836385,5.139508,4.298610
660,0,6,2,0.981623,0.913572,0.832694,5.280400,4.396957
660,0,6,3,0.931239,0.926364,0.982755,2.134381,2.097574
660,0,6,4,0.975519,1.142894,1.245319,4.516936,5.625028
660,0,6,5,0.950802,0.837270,0.740100,3.947092,2.921242
660,0,6,6,0.992296,0.955756,0.956407,12.117946,11.589686
660,0,6,7,0.989572,1.002204,1.003420,7.032285,7.056336
660,0,6,8,0.957311,0.841712,0.718836,5.269377,3.787818
660,0,6,9,0.993656,0.956216,0.946647,11.017691,10.429869
660,0,6,10,0.952158,1.000743,1.025984,2.161649,2.217819
660,0,6,11,0.946325,0.984747,1.054618,3.342906,3.525490
660,0,6,12,0.993491,0.951658,0.932303,11.590376,10.805742
660,0,6,13,0.900632,0.983264,2.054872,-0.347795,-0.714674
660,0,6,14,0.962768,0.929386,0.793014,2.463939,1.953939
660,0,6,15,0.981352,0.988973,1.004198,4.173566,4.191087
660,0,7,0,0.988986,1.036293,1.045181,8.673124,9.064982
660,0,7,1,0.976418,1.020352,1.041362,5.019775,5.227401
660,0,7,2,0.976283,0.994869,1.019801,3.335079,3.401117
660,0,7,3,0.978020,0.914096,0.921228,6.327644,5.829205
660,0,7,4,0.916186,0.726699,0.556914,4.132027,2.301186
660,0,7,5,0.931005,1.005820,1.081819,3.283711,3.552380
660,0,7,6,0.977213,0.963903,0.972835,7.650993,7.443157
660,0,7,7,0.966462,1.151379,1.311728,3.225261,4.230664
660,0,7,8,0.976657,1.038252,1.013387,6.417070,6.502974
660,0,7,9,0.991436,0.940294,0.936632,9.552014,8.946719
660,0,7,10,0.998390,0.999125,0.999273,24.824123,24.806076
660,0,7,11,0.992266,0.965838,0.953602,5.553746,5.296062
660,0,7,12,0.993996,0.977244,0.977588,11.848548,11.582995
660,0,7,13,0.967017,0.885230,0.867390,5.840583,5.066062
660,0,7,14,0.972153,0.826192,0.805818,3.908752,3.149741
660,0,7,15,0.846944,0.786118,0.049410,1.210150,0.059793
660,0,8,0,0.966189,1.095332,1.176945,3.521684,4.144829
660,0,8,1,0.971406,0.905560,0.844101,5.190558,4.381356
660,0,8,2,0.920203,0.803227,0.695683,3.022965,2.103025
660,0,8,3,0.972594,0.888583,0.842116,5.228867,4.403313
660,0,8,4,0.987818,1.051613,1.045738,9.149994,9.568498
660,0,8,5,0.964381,1.029265,1.102972,-1.862753,-2.054564
660,0,8,6,0.972292,1.070378,1.116899,3.953046,4.415152
660,0,8,7,0.988577,1.081009,1.167391,6.404946,7.477078
660,0,8,8,0.987863,0.988181,0.955683,5.388336,5.149540
660,0,8,9,0.981125,0.983936,0.972324,5.131616,4.989592
660,0,8,10,0.986547,0.964236,0.953836,7.032499,6.707850
660,0,8,11,0.982224,1.022266,1.059545,5.130977,5.436499
660,0,8,12,0.965286,1.017431,1.010163,3.565267,3.601501
660,0,8,13,0.986817,0.983497,0.975581,7.281252,7.103448
660,0,8,14,0.972079,1.084713,1.107523,4.237036,4.692615
660,0,8,15,0.837607,0.864147,0.881560,1.005671,0.886560
660,0,9,0,0.961676,0.940395,0.915502,3.152932,2.886517
660,0,9,1,0.882967,0.776680,0.376070,2.131015,0.801411
660,0,9,2,0.943912,0.870036,0.729838,2.552645,1.863017
660,0,9,3,0.987861,1.040393,1.050094,6.094113,6.399391
660,0,9,4,0.978707,1.092848,1.130864,5.489584,6.207973
660,0,9,5,0.973498,1.068423,1.143172,5.147241,5.884183
660,0,9,6,0.991496,1.058068,1.099521,8.185474,9.000102
660,0,9,7,0.990515,0.929154,0.911835,5.658733,5.159828
660,0,9,8,0.856345,0.772874,0.301263,1.007159,0.303420
660,0,9,9,0.988798,0.999654,0.989007,6.622579,6.549779
660,0,9,10,0.981476,0.895335,0.882622,7.692729,6.789773
660,0,9,11,0.976255,0.816992,0.749631,5.596908,4.195613
660,0,9,12,0.908281,0.950697,1.076996,4.359547,4.695215
660,0,9,13,0.944844,0.873511,0.797315,2.747197,2.190381
660,0,9,14,0.986029,1.023100,1.033138,5.809464,6.001975
660,0,9,15,0.994095,0.989824,0.963551,9.895569,9.534881
