block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
5,8,200,200,1.0,0.965612,1.074655,0.00933,1.040404,1.100033,0.059629,1.195598,0.038922
5,9,200,200,1.0,0.97355,1.022241,0.014826,0.98307,1.053374,0.070304,1.063825,0.028727
5,10,200,200,1.0,0.963218,0.80648,0.006326,0.788333,0.820798,0.032465,0.746694,0.008758
5,11,200,200,1.0,0.957941,0.931334,0.018687,0.894884,0.999175,0.104291,0.961734,0.027631
5,12,160,200,0.8,0.917595,0.843644,0.016659,0.800681,0.881647,0.080966,0.725324,0.057938
5,13,200,200,1.0,0.990171,0.993563,0.003205,0.984617,1.007678,0.023061,0.974595,0.006816
5,14,200,200,1.0,0.981993,0.955113,0.013066,0.919922,0.99615,0.076227,0.961609,0.017816
5,15,91,200,0.455,0.918162,0.848566,0.020679,0.796373,0.900286,0.103913,0.800005,0.037805
6,0,200,200,1.0,0.948481,0.962918,0.009673,0.926489,0.988604,0.062115,1.007737,0.026088
6,1,200,200,1.0,0.969443,0.867039,0.013169,0.828436,0.898475,0.070039,0.827138,0.021787
6,2,200,200,1.0,0.981477,0.909584,0.004721,0.895604,0.929807,0.034203,0.829733,0.007351
6,3,156,200,0.78,0.921347,0.956905,0.020546,0.912115,1.021741,0.109625,1.044814,0.045178
6,4,200,200,1.0,0.976594,1.125007,0.011295,1.096444,1.16057,0.064125,1.212031,0.021392
6,5,200,200,1.0,0.945245,0.838879,0.01565,0.780053,0.876853,0.096799,0.72935,0.039951
6,6,200,200,1.0,0.990769,0.951842,0.009606,0.928151,0.97904,0.050889,0.950819,0.012668
6,7,200,200,1.0,0.989027,1.009683,0.015953,0.968699,1.050958,0.082259,1.014562,0.019111
6,8,200,200,1.0,0.960092,0.847839,0.00604,0.828419,0.866388,0.037969,0.729866,0.007396
6,9,200,200,1.0,0.994074,0.957189,0.010394,0.927037,0.991756,0.06472,0.948966,0.014008
6,10,200,200,1.0,0.945762,0.988409,0.012245,0.956189,1.018697,0.062508,1.006149,0.039555
6,11,183,200,0.915,0.935251,0.971374,0.020766,0.915965,1.033819,0.117854,1.048519,0.035654
6,12,200,200,1.0,0.992767,0.961311,0.010735,0.930996,0.992894,0.061898,0.945939,0.015376
6,13,168,200,0.84,0.9079,0.971427,0.00963,0.946946,1.011413,0.064466,1.731331,0.224394
6,14,200,200,1.0,0.961598,0.933397,0.013806,0.899524,0.97546,0.075936,0.809291,0.049213
6,15,200,200,1.0,0.979747,0.983451,0.012899,0.942033,1.037161,0.095128,0.985781,0.030009
7,0,200,200,1.0,0.989485,1.040015,0.014558,1.006004,1.075374,0.06937,1.048239,0.018189
7,1,200,200,1.0,0.974544,0.984472,0.0199,0.929107,1.034281,0.105174,0.990819,0.028854
7,2,200,200,1.0,0.976099,0.983181,0.008296,0.94924,1.002111,0.052871,0.995235,0.017881
7,3,200,200,1.0,0.972781,0.893607,0.019103,0.851991,0.944211,0.092221,0.90057,0.022468
7,4,163,200,0.815,0.917972,0.735051,0.012659,0.704245,0.771878,0.067633,0.568036,0.040905
7,5,193,200,0.965,0.922758,1.009962,0.017041,0.959788,1.054899,0.095111,1.123945,0.040585
7,6,200,200,1.0,0.970305,0.946834,0.017277,0.905356,1.006271,0.100915,0.955355,0.025408
7,7,200,200,1.0,0.970536,1.150841,0.008812,1.121773,1.176134,0.054361,1.281266,0.029719
7,8,200,200,1.0,0.976201,1.025812,0.013827,0.990399,1.067141,0.076742,0.996211,0.020018
7,9,200,200,1.0,0.990582,0.949896,0.013088,0.917645,0.978346,0.060701,0.944683,0.016501
7,10,200,200,1.0,0.997604,1.009337,0.009187,0.984473,1.041929,0.057456,1.010571,0.010106
7,11,200,200,1.0,0.992543,0.95688,0.013195,0.912414,0.988683,0.07627,0.944529,0.018301
7,12,200,200,1.0,0.987214,0.978706,0.012006,0.94884,1.013665,0.064825,0.978837,0.016927
7,13,200,200,1.0,0.972066,0.886766,0.013795,0.850591,0.917384,0.066793,0.872041,0.018129
7,14,200,200,1.0,0.961881,0.80344,0.021977,0.704456,0.856819,0.152363,0.774304,0.046096
8,0,200,200,1.0,0.964725,1.09269,0.0093,1.067249,1.112062,0.044813,1.192499,0.024182
8,1,200,200,1.0,0.972031,0.914847,0.010771,0.881412,0.947257,0.065845,0.860689,0.019284
8,2,145,200,0.725,0.912599,0.796639,0.014003,0.770638,0.831256,0.060618,0.694392,0.037739
8,3,200,200,1.0,0.97122,0.885737,0.009595,0.85612,0.917366,0.061246,0.834376,0.016708
8,4,200,200,1.0,0.98525,1.020944,0.024119,0.960011,1.081511,0.121499,1.006947,0.030538
8,5,200,200,1.0,0.96419,1.021316,0.01766,0.978657,1.084907,0.10625,1.098747,0.021863
8,6,200,200,1.0,0.97188,1.057432,0.015102,1.016983,1.102801,0.085818,1.107596,0.026108
8,7,200,200,1.0,0.987916,1.08589,0.007983,1.062346,1.10611,0.043764,1.16897,0.022913
8,8,200,200,1.0,0.98869,0.992329,0.004633,0.975859,1.004299,0.02844,0.969431,0.008589
8,9,200,200,1.0,0.981259,0.991459,0.014265,0.936546,1.024971,0.088425,0.987529,0.022927
8,10,200,200,1.0,0.984618,0.966842,0.011547,0.925693,0.995751,0.070058,0.958,0.016091
8,11,200,200,1.0,0.979963,1.036161,0.012284,0.977831,1.06216,0.084329,1.093104,0.025657
8,12,200,200,1.0,0.963733,1.02011,0.010217,0.991211,1.044899,0.053688,1.029865,0.026271
8,13,200,200,1.0,0.982119,0.983251,0.009371,0.948701,1.007393,0.058692,0.973544,0.015735
8,14,200,200,1.0,0.971653,1.079611,0.012579,1.050689,1.113243,0.062554,1.108763,0.02752
9,0,200,200,1.0,0.963205,0.953721,0.012385,0.907878,0.980613,0.072735,0.954297,0.041559
9,1,3,200,0.015,0.908205,0.791732,0.004553,0.788683,0.796966,0.008283,0.545268,0.059801
9,2,200,200,1.0,0.948963,0.875861,0.005635,0.85973,0.895039,0.035309,0.751482,0.020076
9,3,200,200,1.0,0.985174,1.042208,0.010916,1.005682,1.068886,0.063204,1.054757,0.017008
9,4,200,200,1.0,0.973014,1.098092,0.015996,1.038484,1.137946,0.099463,1.146739,0.028439
9,5,200,200,1.0,0.97518,1.080044,0.011188,1.048677,1.119659,0.070982,1.153102,0.02033
9,6,200,200,1.0,0.990101,1.066657,0.007414,1.045131,1.083722,0.038591,1.114851,0.014465
