class_id,seed,block,head,mean8,mean9,ratio,cosine
323,0,2,12,0.327443,0.705361,2.154147,0.899538
323,0,2,13,0.825699,0.731369,0.885758,0.964432
323,0,2,14,-0.746973,-0.838892,1.123056,0.951010
323,0,2,15,0.187562,0.732498,3.905368,0.765735
323,0,3,0,1.120889,1.278523,1.140633,0.854326
323,0,3,1,2.069717,1.635698,0.790301,0.980175
323,0,3,2,0.902303,0.584549,0.647842,0.896332
323,0,3,3,1.324020,0.933859,0.705321,0.955772
323,0,3,4,2.414196,1.749206,0.724550,0.983211
323,0,3,5,1.469695,1.872798,1.274277,0.976751
323,0,3,6,1.942680,1.716788,0.883721,0.986145
323,0,3,7,0.554248,0.883419,1.593905,0.945002
323,0,3,8,8.786630,8.737116,0.994365,0.998302
323,0,3,9,2.911953,3.140578,1.078512,0.993802
323,0,3,10,3.371330,1.947743,0.577737,0.985052
323,0,3,11,0.515703,1.907614,3.699052,0.798862
323,0,3,12,3.054740,2.993699,0.980018,0.989793
323,0,3,13,7.208318,7.851722,1.089259,0.996374
323,0,3,14,1.004917,0.867487,0.863242,0.914466
323,0,3,15,2.264532,1.894383,0.836545,0.993434
323,0,4,0,2.317288,2.154147,0.929598,0.984724
323,0,4,1,2.158775,2.508482,1.161994,0.986368
323,0,4,2,0.558199,0.800691,1.434418,0.942000
323,0,4,3,2.698494,3.087209,1.144049,0.996333
323,0,4,4,3.933981,4.125952,1.048798,0.994089
323,0,4,5,1.645301,2.569077,1.561463,0.979408
323,0,4,6,1.556607,2.534169,1.628008,0.965610
323,0,4,7,1.775014,1.415345,0.797372,0.985384
323,0,4,8,0.099366,0.297502,2.993997,0.883487
323,0,4,9,0.587792,0.656803,1.117408,0.953579
323,0,4,10,7.798249,8.145528,1.044533,0.994541
323,0,4,11,5.204033,4.939966,0.949257,0.996123
323,0,4,12,1.519836,1.383326,0.910181,0.992197
323,0,4,13,4.030308,4.581500,1.136762,0.992436
323,0,4,14,1.340886,1.136715,0.847734,0.985970
323,0,4,15,1.231378,2.048609,1.663672,0.977794
323,0,5,0,11.102257,11.167727,1.005897,0.996643
323,0,5,1,3.254678,1.754681,0.539126,0.878436
323,0,5,2,7.724761,7.420455,0.960606,0.989153
323,0,5,3,3.082573,2.739937,0.888847,0.992515
323,0,5,4,9.827272,10.427218,1.061049,0.997916
323,0,5,5,9.493004,9.589119,1.010125,0.998271
323,0,5,6,15.833142,16.352348,1.032792,0.998832
323,0,5,7,2.397919,3.194585,1.332232,0.955839
323,0,5,8,2.955009,3.655819,1.237160,0.970214
323,0,5,9,4.060236,4.594157,1.131500,0.984301
323,0,5,10,6.212080,4.644974,0.747733,0.997646
323,0,5,11,5.116707,5.071229,0.991112,0.962300
323,0,5,12,1.188138,0.950526,0.800013,0.862013
323,0,5,13,5.901571,5.836186,0.988921,0.999054
323,0,5,14,6.461099,6.524305,1.009783,0.984713
323,0,5,15,1.876499,1.570907,0.837148,0.916128
323,0,6,0,2.718076,2.868443,1.055321,0.942711
323,0,6,1,5.007963,4.304524,0.859536,0.991025
323,0,6,2,5.481963,4.567837,0.833248,0.997641
323,0,6,3,1.708429,1.809696,1.059275,0.886773
323,0,6,4,4.386408,5.475502,1.248288,0.982371
323,0,6,5,3.624147,2.741195,0.756370,0.975305
323,0,6,6,12.554004,12.211395,0.972709,0.993055
323,0,6,7,7.020324,7.270246,1.035600,0.996501
323,0,6,8,5.335926,3.884573,0.728004,0.992761
323,0,6,9,13.849651,13.290516,0.959628,0.998753
323,0,6,10,2.102474,2.244682,1.067638,0.931710
323,0,6,11,3.344127,3.538407,1.058096,0.947046
323,0,6,12,12.555018,12.123728,0.965648,0.997706
323,0,6,13,-0.254911,-0.645438,2.532017,0.665414
323,0,6,14,2.607385,1.912445,0.733472,0.957863
323,0,6,15,4.214836,4.283187,1.016217,0.984446
323,0,7,0,8.545212,8.943466,1.046606,0.993161
323,0,7,1,5.571293,5.665049,1.016828,0.990694
323,0,7,2,3.293169,3.436472,1.043515,0.996742
323,0,7,3,6.334991,5.856411,0.924454,0.974036
323,0,7,4,4.795118,3.147913,0.656483,0.963818
323,0,7,5,3.827172,4.195423,1.096220,0.946924
323,0,7,6,8.891016,8.841721,0.994456,0.981709
323,0,7,7,3.821191,4.834505,1.265183,0.986598
323,0,7,8,6.611348,6.835823,1.033953,0.997182
323,0,7,9,11.456791,10.877144,0.949406,0.998581
323,0,7,10,26.497158,26.636566,1.005261,0.999126
323,0,7,11,5.893409,5.378037,0.912551,0.997605
323,0,7,12,10.853080,10.743746,0.989926,0.993557
323,0,7,13,6.486869,5.779863,0.891010,0.992382
323,0,7,14,4.638408,3.899180,0.840629,0.986675
323,0,7,15,1.530957,0.383032,0.250191,0.626794
323,0,8,0,3.409932,4.184626,1.227187,0.985935
323,0,8,1,5.080605,4.477058,0.881206,0.977480
323,0,8,2,3.050227,2.228183,0.730497,0.889140
323,0,8,3,5.885326,5.005971,0.850585,0.992533
323,0,8,4,11.758035,12.379868,1.052886,0.999095
323,0,8,5,-1.670412,-1.889894,1.131394,0.958912
323,0,8,6,4.093603,4.861025,1.187469,0.989461
323,0,8,7,6.884289,8.052979,1.169762,0.996185
323,0,8,8,5.216935,5.045645,0.967167,0.996693
323,0,8,9,5.523624,5.556269,1.005910,0.994914
323,0,8,10,6.545286,6.257704,0.956063,0.994800
323,0,8,11,5.557865,5.844306,1.051538,0.994322
323,0,8,12,3.583277,3.921511,1.094392,0.971417
323,0,8,13,6.796177,6.602983,0.971573,0.994068
323,0,8,14,4.192576,4.869954,1.161566,0.982982
323,0,8,15,1.099751,1.252472,1.138869,0.602738
323,0,9,0,3.146630,2.720316,0.864517,0.982268
323,0,9,1,2.219632,0.692477,0.311978,0.763744
323,0,9,2,2.328357,1.728483,0.742362,0.976250
323,0,9,3,5.401242,5.761399,1.066680,0.996124
323,0,9,4,6.257844,7.041260,1.125189,0.995899
323,0,9,5,5.071754,6.034638,1.189852,0.991681
323,0,9,6,8.331407,9.089814,1.091030,0.995045
323,0,9,7,4.895880,4.441878,0.907269,0.996953
323,0,9,8,1.121053,0.643151,0.573703,0.727332
323,0,9,9,6.468425,6.536135,1.010468,0.995247
323,0,9,10,7.850486,6.813921,0.867962,0.996189
323,0,9,11,6.400922,4.996910,0.780655,0.996029
323,0,9,12,4.427556,4.520098,1.020901,0.840884
323,0,9,13,2.489270,1.951437,0.783940,0.980478
323,0,9,14,6.081247,6.260189,1.029425,0.997582
323,0,9,15,9.929958,9.487254,0.955417,0.999008
323,0,10,0,4.190325,2.595049,0.619295,0.948415
323,0,10,1,18.808975,17.991657,0.956546,0.997981
323,0,10,2,4.865139,3.895824,0.800763,0.982702
